id;name;description;start_date;end_date;project_id;created_by
1;withdrawal Moldovan Leu Intelligent;Analyst Technician;2020-02-23;2020-02-23;1;system
2;Washington;Savings Account Grocery;2020-02-22;2020-02-23;2;system
3;Baby morph;South Dakota;2020-02-23;2020-02-22;3;system
4;Architect;Stream circuit PNG;2020-02-22;2020-02-22;4;system
5;Wisconsin Pakistan Rupee proactive;Lead zero administration Pizza;2020-02-23;2020-02-22;5;system
6;Clothing optical web-enabled;Bacon backing up Ramp;2020-02-22;2020-02-23;6;system
7;Gorgeous Soft Car;Avon interface Orchestrator;2020-02-23;2020-02-23;7;system
8;Re-contextualized;Switchable TCP;2020-02-22;2020-02-22;8;system
9;Western Sahara Plastic;Engineer input;2020-02-23;2020-02-22;9;system
10;Dynamic Chips;methodical Legacy applications;2020-02-23;2020-02-23;10;system
